Target,Subject,Data Modality,Classifier,Accuracy,F1-score
Arousal,0,Annotations,DL,0.785959395,0.757129732
Arousal,0,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,0,Annotations,KNN,0.857142857,0.82038489
Arousal,0,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,0,Annotations,RF,0.845238095,0.81272509
Arousal,0,EMG A,DL,0.8029797,0.774320038
Arousal,0,EMG A,GaussianSVM,0.804763878,0.764515395
Arousal,0,EMG A,KNN,0.774683511,0.736957227
Arousal,0,EMG A,LinearRidge,0.796351669,0.757805814
Arousal,0,EMG A,RF,0.802100151,0.781234987
Arousal,0,EMG C,DL,0.624171654,0.512393464
Arousal,0,EMG C,GaussianSVM,0.665621706,0.569124258
Arousal,0,EMG C,KNN,0.597385703,0.547174911
Arousal,0,EMG C,LinearRidge,0.599191559,0.517365576
Arousal,0,EMG C,RF,0.630590526,0.534947825
Arousal,0,HRV,DL,0.601415308,0.49802878
Arousal,0,HRV,GaussianSVM,0.568416064,0.485211723
Arousal,0,HRV,KNN,0.578363992,0.537858972
Arousal,0,HRV,LinearRidge,0.644455029,0.5444006
Arousal,0,HRV,RF,0.624667567,0.568460897
Arousal,0,IMU,DL,0.673319132,0.589334024
Arousal,0,IMU,GaussianSVM,0.699586383,0.631319626
Arousal,0,IMU,KNN,0.599938317,0.557157043
Arousal,0,IMU,LinearRidge,0.703944379,0.637688752
Arousal,0,IMU,RF,0.650103845,0.584220538
Arousal,0,Mask-All,DL,0.771502355,0.737886719
Arousal,0,Mask-All,GaussianSVM,0.777311411,0.73153302
Arousal,0,Mask-All,KNN,0.68919766,0.66726875
Arousal,0,Mask-All,LinearRidge,0.768780307,0.727649435
Arousal,0,Mask-All,RF,0.815027861,0.790472048
Arousal,1,Annotations,DL,0.800569429,0.770575988
Arousal,1,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,1,Annotations,KNN,0.857142857,0.82038489
Arousal,1,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,1,Annotations,RF,0.845238095,0.807983119
Arousal,1,EMG A,DL,0.797116329,0.761817153
Arousal,1,EMG A,GaussianSVM,0.801973874,0.761519047
Arousal,1,EMG A,KNN,0.771147364,0.734511788
Arousal,1,EMG A,LinearRidge,0.791277943,0.751922858
Arousal,1,EMG A,RF,0.810849769,0.789356566
Arousal,1,EMG C,DL,0.625822828,0.538891371
Arousal,1,EMG C,GaussianSVM,0.665950916,0.574931582
Arousal,1,EMG C,KNN,0.606359168,0.560432062
Arousal,1,EMG C,LinearRidge,0.612621858,0.513831242
Arousal,1,EMG C,RF,0.640856423,0.561570439
Arousal,1,HRV,DL,0.626519176,0.513705662
Arousal,1,HRV,GaussianSVM,0.549694276,0.465226156
Arousal,1,HRV,KNN,0.575041657,0.530476794
Arousal,1,HRV,LinearRidge,0.651817414,0.544263403
Arousal,1,HRV,RF,0.592355187,0.518934763
Arousal,1,IMU,DL,0.65612379,0.595289238
Arousal,1,IMU,GaussianSVM,0.697941133,0.628507486
Arousal,1,IMU,KNN,0.604555014,0.55546624
Arousal,1,IMU,LinearRidge,0.703551115,0.636685801
Arousal,1,IMU,RF,0.691487625,0.594773487
Arousal,1,Mask-All,DL,0.768858272,0.729118482
Arousal,1,Mask-All,GaussianSVM,0.756971589,0.703723984
Arousal,1,Mask-All,KNN,0.676932336,0.654815176
Arousal,1,Mask-All,LinearRidge,0.760060787,0.713195734
Arousal,1,Mask-All,RF,0.808098805,0.77651877
Arousal,2,Annotations,DL,0.795594379,0.757096118
Arousal,2,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,2,Annotations,KNN,0.857142857,0.82038489
Arousal,2,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,2,Annotations,RF,0.833333333,0.805039788
Arousal,2,EMG A,DL,0.794007837,0.754952423
Arousal,2,EMG A,GaussianSVM,0.803601926,0.76292802
Arousal,2,EMG A,KNN,0.771110031,0.730653552
Arousal,2,EMG A,LinearRidge,0.795928732,0.757439343
Arousal,2,EMG A,RF,0.811812547,0.781353502
Arousal,2,EMG C,DL,0.653562623,0.559428189
Arousal,2,EMG C,GaussianSVM,0.664259806,0.566359187
Arousal,2,EMG C,KNN,0.609341042,0.555536934
Arousal,2,EMG C,LinearRidge,0.639241663,0.552514752
Arousal,2,EMG C,RF,0.640489285,0.538347065
Arousal,2,HRV,DL,0.57177686,0.482064443
Arousal,2,HRV,GaussianSVM,0.551316571,0.478086856
Arousal,2,HRV,KNN,0.570828019,0.523210964
Arousal,2,HRV,LinearRidge,0.646333251,0.536786347
